Variable,Name
B23006_001E,Total
B23006_002E,Less than high school graduate (LTHSD)
B23006_003E,In labor force (LTHSD)
B23006_004E,In armed forces (LTHSD)
B23006_005E,Civilian (LTHSD)
B23006_006E,Employed (LTHSD)
B23006_007E,Unemployed (LTHSD)
B23006_008E,Not in labor force (LTHSD)
B23006_009E,High school graduate (HSG)
B23006_010E,In labor force (HSG)
B23006_011E,In armed forces (HSG)
B23006_012E,Civilian (HSG)
B23006_013E,Employed (HSG)
B23006_014E,Unemployed (HSG)
B23006_015E,Not in labor force (HSG)
B23006_016E,Some college or associate's degree (SCAD)
B23006_017E,In labor force (SCAD)
B23006_018E,In armed forces (SCAD)
B23006_019E,Civilian (SCAD)
B23006_020E,Employed (SCAD)
B23006_021E,Unemployed (SCAD)
B23006_022E,Not in labor force (SCAD)
B23006_023E,Bachelor's degree or higher (BSH)
B23006_024E,In labor force (BSH)
B23006_025E,In armed forces (BSH)
B23006_026E,Civilian (BSH)
B23006_027E,Employed (BSH)
B23006_028E,Unemployed (BSH)
B23006_029E,Not in labor force (BSH)
